LANGCODE	EXAMPLE	SOURCE	REFERENCE	REFERENCE_PAGE	CAT	GROUPID	EDITOR	COMMENT	VERSION	COMMENT_INTERN
ru	Вероятно, различий гораздо больше.	PS			EXIST, EPIST	BS0001	Barbara		1	
ru	Господа молча обнялись.	PS			RECI	BS0002	Barbara		1	
ru	Я немного испугался.	PS			ITR	BS0003	Barbara		1	
cs	Je možné, že rozdílů je víc.	PS			EXIST, EPIST	BS0004	Barbara		1	
bcms	Možda ima više razlika.	PS			EXIST, EPIST	BS0004	Barbara		1	
bcms	Gospoda nemo su se zagrlili.	PS			RECI	BS0005	Barbara		1	
bcms	Malo se uplaših.	PS			ITR, DROP	BS0006	Barbara		1	
pl	Jacek rozbil samochód Roberta.		Šarić (2002)		POSS	BS0007	Barbara		1	
pl	Jacek rozbil Robertowi samochód.		Šarić (2002)		POSS	BS0007	Barbara		1	
cs	Je možné, že rozdílů je víc.	PS			EXIST, EPIST	BS0004	Barbara		1	
ru	Я найму тебе отдельную комнату.	NKRJa			PFUT, DOM-ANIM	BS0009	Barbara		1	
ru	Я найму тебе адвоката.	NKRJa			PFUT, DOM-ANIM	BS0009	Barbara		1	zu diskutieren: sollen Sätze wie diese beiden verknüpft werden? In der Gegenüberstellung zeigen sich die Bedingungen an DOM. und: soll hier auch der erste Satz mit 'DOM' annotiert werden?
bcms	Tamo bismo bili sami.	PS			HYP	BS0010	Barbara		1	
cs	Tam bychom byli sami.	PS			HYP	BS0010	Barbara		1	diese Sätze sollten als Parallebeispiele miteinander verknüpft werden (hier trotz Übersetzung unproblematisch)
pl	Tam byli by śmy sami.	PS			HYP	BS0010	Barbara		1	
ru	Там мы были бы одни.	PS			HYP	BS0010	Barbara		1	
ru	Злых людей нет на свете.	PS			DSM, EXIST-NEG	BS0011	Barbara		1	
bcms	Zlih ljudi nema na svijetu.	PS			DOM, EXIST-NEG	BS0011	Barbara		1	
ru	Ты мне палец сломала.	OPUS			POSS	BS0012	Barbara		1	
ru	Когда-то она была учительницей начальной школы, и неплохой ― дети её любили.	NKRJa			NOMPRED	BS0013	Barbara	This example has been adapted from the original source.	1	zweimal Prädikatsnomen, mit Ins bzw. Nom
ru	Она была учительница и постеснялась идти по деревне в неприличном виде.	NKRJa			NOMPRED	BS0013	Barbara		1	
ru	Она стала серьезной.	NKRJa			NOMPRED	BS0014	Barbara		1	zweimal Prädikatsnomen, mit Ins bzw. Nom
ru	Какая она стала большая!	NKRJa			NOMPRED	BS0014	Barbara		1	
ru	Семен обзвонил городские гостиницы, но ни Светланы, ни Влада не нашел.	NKRJa			DOM-NEG	BS0015	Barbara		1	negiertes Objekt, mit Gen bzw Akk (bei jeweils hochindividualisierten Referenten)
ru	Я не нашла маму с сестренкой, еду без них.	NKRJa			DOM-NEG	BS0015	Barbara		1	
ru	Она видела папу римского.	NKRJa			DOM-ANIM, AGRSEM	BS0016	Barbara		1	interessant wg. interaktion von formaler & semantischer Kongruenz & DOM-ANIM innerhalb der Objekt-NP
ru	Сама бы профессором стала.	NKRJa			NOMPRED, AGRSEM	BS0017	Barbara		1	
bcms	To neću raditi ja, to ćete uraditi vi sami.	PS			FUTUR	BS0018	Barbara		1	Unterschiedliche Kohäsion beim Futur in beiden Sätzen; passt/reicht hier FUTUR?
bcms	Naučićeš vrlo brzo.	PS			FUTUR	BS0018	Barbara		1	
ru	У меня голова заболела.	PS			POSS	BS0019	Barbara		1	
bcms	Boli me glava.	PS			POSS	BS0019	Barbara		1	mit dem ru Bsp verbinden, um die Unterschiede in der Konstruktion zu zeigen? Oder völlig unabhängig erfassen?
ru	У меня тут подарочек.	PS			POSS	BS0020	Barbara		1	
bcms	Šta, imaš samo tu haljinu?	PS			POSS	BS0021	Barbara		1	
bcms	Imaš li neki plan?	PS			POSS, IDEFIN, NSPEC	BS0022	Barbara		1	
bcms	Gde ti je revolver?	PS			POSS	BS0023	Barbara		1	
bcms	To si sigurno pročitao u nekoj grčkoj knjizi?	PS			IDEFIN, SPEC	BS0024	Barbara		1	
cs	Co si tedy máme zvolit?	PS			SA-DIR	BS0025	Barbara		1	
ru	Мне ждать тебя?	PS			SA-DIR, IPER	BS0026	Barbara		1	
cs	Opravdu, jsou knihy pro den a knihy, které můžete číst jen v noci.	PS			EXIST, RC	BS0027	Barbara		1	
cs	Jsou to otázky, na které není odpověď.	PS			NOMPRED, RC	BS0028	Barbara		1	
ru	Зачем мне это делать?	PS			SA-DIR, IPER	BS0029	Barbara		1	
ru	Пусть сам принесет в сад вечером.	PS			SA-DIR, DROP	BS0030	Barbara		1	
ru	Что говорить, о чем?	PS			SA-DIR, IPER	BS0031	Barbara		1	
bcms	Ali pustite me da objasnim što se dogodilo jutros.	PS			SA-DIR	BS0032	Barbara		1	
cs	Ale nechte mě napřed objasnit, co se stalo dnes ráno.	PS			SA-DIR	BS0033	Barbara		1	
bcms	Odakle znaš da sam ja onaj dobri stari Štakor koji je doletio ovamo prije dvije godine.	PS			DEFIN	BS0034	Barbara		1	
bcms	Dobar znamen za susret.	PS			IDEFIN	BS0034	Barbara		1	
bcms	Kažu da je jako skup i krhak.	PS			EVID, DROP	BS0035	Barbara		1	
cs	Prý je velice drahý a taky křehký.	PS			EVID, DROP	BS0036	Barbara		1	
ru	Все переглянулись.	PS			RECI	BS0037	Barbara		1	
bcms	Svi stadoše gledati jedni u druge.	PS			RECI	BS0037	Barbara		1	
