CAT	EXAMPLEID
EXIST	bcms0100001
EPIST	bcms0100001
RECI	bcms0100002
ITR	bcms0100003
DROP	bcms0100003
HYP	bcms0100004
DOM	bcms0100005
EXIST-NEG	bcms0100005
FUTUR	bcms0100006
FUTUR	bcms0100007
POSS	bcms0100008
POSS	bcms0100009
POSS	bcms0100010
IDEFIN	bcms0100010
NSPEC	bcms0100010
POSS	bcms0100011
IDEFIN	bcms0100012
SPEC	bcms0100012
SA-DIR	bcms0100013
DEFIN	bcms0100014
IDEFIN	bcms0100015
EVID	bcms0100016
DROP	bcms0100016
RECI	bcms0100017
REFL	bcms0100018
DOM	bcms0100019
EXIST	bcms0100020
DOM	bcms0100020
EVID	bcms0100021
SA-DIR	bcms0100022
DEO	bcms0100022
RC	bcms0100023
APPR	bcms0100024
PRV	bcms0100024
SA-DIR	bcms0100025
DEO	bcms0100025
SA-DIR	bcms0100026
DEO	bcms0100026
SA-DIR	bcms0100027
DEO	bcms0100027
SA-DIR	bcms0100028
DEO	bcms0100028
POSS	bcms0100029
NOMPRED	bcms0100030
NOMPRED	bcms0100031
NOMPRED	bcms0100032
NOMPRED	bcms0100033
NAME	bcms0100034
NAME	bcms0100035
LF-ADJ	bcms0100036
LF-ADJ	bcms0100037
COMP	bcms0100038
COMP	bcms0100039
PASS	bcms0100040
PASS	bcms0100041
RESULT	bcms0100041
PASS	bcms0100042
ITER	bcms0100042
PASS	bcms0100043
COMP	bcms0100044
COMP	bcms0100045
AGR-NUM	bcms0100046
REFCLIT	bcms0100047
NOMPRED	bcms0100048
NOMPRED	bcms0100049
NOMPRED	bcms0100050
AGRSEM	bcms0100051
AGRSEM	bcms0100052
NOMPRED	bcms0100053
COMP	bcms0100054
COMP	bcms0100055
SA-DIR	bcms0100056
SA-DIR	bcms0100057
SA-DIR	bcms0100058
EXIST	cs0100001
EPIST	cs0100001
EXIST	cs0100002
EPIST	cs0100002
HYP	cs0100003
SA-DIR	cs0100004
EXIST	cs0100005
RC	cs0100005
NOMPRED	cs0100006
RC	cs0100006
SA-DIR	cs0100007
EVID	cs0100008
DROP	cs0100008
GIVE	cs0100009
DROP	cs0100009
REFL	cs0100010
GIVE	cs0100011
GIVE	cs0100012
GIVE	cs0100013
GIVE	cs0100014
SA-DIR	cs0100015
DEO	cs0100015
EVID	cs0100016
RC	cs0100017
APPR	cs0100018
APPR	cs0100019
PRV	cs0100019
POSS	cs0100020
ITR	cs0100020
DEFIN	cs0100021
RC	cs0100022
NAME	cs0100023
NAME	cs0100024
INCOUNT	cs0100025
SF-ADJ	cs0100026
LF-ADJ	cs0100027
GRAD	cs0100028
PASS	cs0100029
AGR-NUM	cs0100029
AGRSEM	cs0100030
PASS	cs0100031
DUMMY	cs0100032
PASS	cs0100033
RESULT	cs0100033
PASS	cs0100034
PASS	cs0100035
RESULT	cs0100035
PASS	cs0100036
PASS	cs0100037
PASS	cs0100038
REFCLIT	cs0100039
REFCLIT	cs0100040
MOD	cs0100041
REFCLIT	cs0100042
REFCLIT	cs0100043
REFL	cs0100044
REFL	cs0100045
REFCLIT	cs0100046
PASS	cs0100046
AGRSEM	cs0100047
AGR-NUM	cs0100048
AGRSEM	cs0100049
AGRSEM	cs0100050
COMP	cs0100051
COMP	cs0100052
SA-DIR	cs0100053
SA-DIR	cs0100054
SA-DIR	cs0100055
RC	cu0100001
RC	cu0100002
DAT-CTR	cu0100003
POSS-ADJ	cu0100004
POSS-ADJ	cu0100005
POSS-ADJ	cu0100006
DAT-ABS	cu0100007
FUTUR	cu0100008
OBJ-CTR	cu0100009
FUTUR	cu0100010
OBJ-CTR	cu0100011
FUTUR	cu0100012
DAT-ABS	cu0100013
POSS	pl0100001
POSS	pl0100002
HYP	pl0100003
RECI	pl0100004
REFL	pl0100005
POSS	pl0100006
SA-DIR	pl0100007
DEO	pl0100007
SA-DIR	pl0100008
DEO	pl0100008
EVID	pl0100009
RC	pl0100010
SA-OPT	pl0100011
DOM-NEG	pl0100012
DOM-IND	pl0100013
DOM-ANIM	pl0100014
CIRC	pl0100015
EPIST	pl0100016
FUTUR	pl0100016
APPR	pl0100017
APPR	pl0100018
APPR	pl0100019
APPR	pl0100020
APPR	pl0100021
PRV	pl0100021
APPR	pl0100022
PRV	pl0100022
SA-DIR	pl0100023
SA-OPT	pl0100023
SA-DIR	pl0100024
SA-OPT	pl0100024
SA-DIR	pl0100025
RECI	pl0100025
SA-DIR	pl0100026
SA-DIR	pl0100027
SA-OPT	pl0100027
SA-OPT	pl0100028
RECI	pl0100029
RECI	pl0100030
SA-DIR	pl0100030
RECI	pl0100031
RECI	pl0100032
POSS	pl0100033
SA-DIR	pl0100034
EPIST	pl0100035
TAKE	pl0100036
PCOORD	pl0100036
IMPP	pl0100036
TAKE	pl0100037
IMPP	pl0100037
ECH	pl0100038
ECH	pl0100039
IMPP	pl0100040
IMPP	pl0100041
RECI	pl0100042
RECI	pl0100043
RECI	pl0100044
RECI	pl0100045
RECI	pl0100046
RECI	pl0100047
RECI	pl0100048
RECI	pl0100049
RECI	pl0100050
RECI	pl0100051
RECI	pl0100052
RECI	pl0100053
RECI	pl0100054
RECI	pl0100055
RECI	pl0100056
RECI	pl0100057
RECI	pl0100058
ITR	pl0100059
ITR	pl0100060
ITR	pl0100061
ITR	pl0100062
ITR	pl0100063
ITR	pl0100064
ITR	pl0100065
ITR	pl0100066
ITR	pl0100067
ITR	pl0100068
ITR	pl0100069
ITR	pl0100070
ITR	pl0100071
ITR	pl0100072
ITR	pl0100073
ITR	pl0100074
ECH	pl0100074
ITR	pl0100075
ITR	pl0100076
GIVE	pl0100076
IMPP	pl0100076
ITR	pl0100077
ITR	pl0100078
ITR	pl0100079
RECI	pl0100079
ITR	pl0100080
ITR	pl0100081
ITR	pl0100082
ITR	pl0100083
ITR	pl0100084
ITR	pl0100085
ITR	pl0100086
ITR	pl0100087
DISP	pl0100088
GIVE	pl0100088
IPER	pl0100089
IPER	pl0100090
IPER	pl0100091
IPER	pl0100092
IPER	pl0100093
IPER	pl0100094
IPER	pl0100095
IPER	pl0100096
IPER	pl0100097
IPER	pl0100098
IPER	pl0100099
IPER	pl0100100
IPER	pl0100101
IPER	pl0100102
IPER	pl0100103
IPER	pl0100104
IPER	pl0100105
IPER	pl0100106
IPER	pl0100107
SA-DIR	pl0100107
ITR	pl0100107
IPER	pl0100108
IPER	pl0100109
IPER	pl0100110
IPER	pl0100111
AGRSEM	pl0100112
AGRSEM	pl0100113
AGRSEM	pl0100114
AGRSEM	pl0100115
AGRSEM	pl0100116
RESULT	pl0100117
RESULT	pl0100118
RECI	pl0100118
RESULT	pl0100119
RC	pl0100120
POSS	pl0100120
POSS	pl0100121
POSS	pl0100122
EVID	pl0100123
EVID	pl0100124
EVID	pl0100125
EVID	pl0100126
EVID	pl0100127
EVID	pl0100128
EVID	pl0100129
EPIST	pl0100130
EPIST	pl0100131
EPIST	pl0100132
RECI	pl0100132
EPIST	pl0100133
EPIST	pl0100134
EPIST	pl0100135
EPIST	pl0100136
DISP	pl0100137
DISP	pl0100138
EPIST	pl0100138
ITER	pl0100139
ITER	pl0100140
ITER	pl0100141
ITER	pl0100142
EPIST	pl0100142
ITER	pl0100143
ITER	pl0100144
DOM-ANIM	pl0100145
DOM-ANIM	pl0100146
DOM-ANIM	pl0100147
DOM-ANIM	pl0100148
DOM-ANIM	pl0100149
DOM-ANIM	pl0100150
DOM-ANIM	pl0100151
DOM-ANIM	pl0100152
DOM-ANIM	pl0100153
DOM-ANIM	pl0100154
POSS	pl0100154
DOM-ANIM	pl0100155
DOM-ANIM	pl0100156
DSM-ANIM	pl0100157
DSM-ANIM	pl0100158
DSM-ANIM	pl0100159
DSM-ANIM	pl0100160
DSM-ANIM	pl0100161
DSM-ANIM	pl0100162
DSM-ANIM	pl0100163
DSM-ANIM	pl0100164
DSM-ANIM	pl0100165
DSM-ANIM	pl0100166
DSM-ANIM	pl0100167
DSM-ANIM	pl0100168
DSM-ANIM	pl0100169
MFOC	pl0100170
MFOC	pl0100171
MFOC	pl0100172
MFOC	pl0100173
MFOC	pl0100174
RC	pl0100174
MFOC	pl0100175
RC	pl0100175
MTOP	pl0100176
MTOP	pl0100177
MTOP	pl0100178
MTOP	pl0100179
MTOP	pl0100180
MTOP	pl0100181
RC	pl0100181
MTOP	pl0100182
RC	pl0100182
ANAPH	pl0100183
RC	pl0100183
DSM	pl0100183
EVID	pl0100183
ECH	pl0100184
ECH	pl0100185
ECH	pl0100186
EVID	pl0100186
RESULT	pl0100187
RESULT	pl0100188
NOMPRED	pl0100189
NOMPRED	pl0100190
NOMPRED	pl0100191
NOMPRED	pl0100192
RC	pl0100193
RC	pl0100194
DOM	pl0100195
DOM	pl0100196
DSM	pl0100197
DSM	pl0100198
DSM	pl0100199
DOM	pl0100200
DOM	pl0100201
DOM	pl0100202
DOM	pl0100203
NAME	pl0100204
NAME	pl0100205
GRAD	pl0100206
NOMPRED	pl0100206
GRAD	pl0100207
REFL	pl0100208
REFCLIT	pl0100208
PASS	pl0100209
REFCLIT	pl0100209
REFCLIT	pl0100210
REFCLIT	pl0100211
COMP	pl0100212
REFL	pl0100213
REFL	pl0100214
REFL	pl0100215
REFL	pl0100216
REFCLIT	pl0100217
AGRSEM	pl0100218
AGRSEM	pl0100219
NOMPRED	pl0100220
POSS	pl0100221
IDEFIN	pl0100222
COMP	pl0100223
NAME	pl0100224
COMP	pl0100225
COMP	pl0100226
SA-DIR	pl0100227
SA-DIR	pl0100228
SA-DIR	pl0100229
EXIST	ru0100001
EPIST	ru0100001
RECI	ru0100002
ITR	ru0100003
PFUT	ru0100004
DOM-ANIM	ru0100004
PFUT	ru0100005
DOM-ANIM	ru0100005
HYP	ru0100006
DSM	ru0100007
EXIST-NEG	ru0100007
POSS	ru0100008
NOMPRED	ru0100009
NOMPRED	ru0100010
NOMPRED	ru0100011
NOMPRED	ru0100012
DOM-NEG	ru0100013
DOM-NEG	ru0100014
DOM-ANIM	ru0100015
AGRSEM	ru0100015
NOMPRED	ru0100016
AGRSEM	ru0100016
POSS	ru0100017
POSS	ru0100018
SA-DIR	ru0100019
IPER	ru0100019
SA-DIR	ru0100020
IPER	ru0100020
SA-DIR	ru0100021
DROP	ru0100021
SA-DIR	ru0100022
IPER	ru0100022
RECI	ru0100023
GIVE	ru0100024
GIVE	ru0100025
IDEFIN	ru0100025
SPEC	ru0100025
REFL	ru0100026
AGRSEM	ru0100027
NOMPRED	ru0100028
NOMPRED	ru0100029
AGRSEM	ru0100029
IPER	ru0100030
NOMPRED	ru0100031
DOM	ru0100032
DOM	ru0100033
DOM	ru0100034
DOM	ru0100035
IPER	ru0100036
SA-DIR	ru0100036
RECI	ru0100037
ITR	ru0100038
EVID	ru0100039
RC	ru0100040
APPR	ru0100041
ECH	ru0100042
IMPP	ru0100042
PCOORD	ru0100042
TAKE	ru0100043
PCOORD	ru0100043
APPR	ru0100044
APPR	ru0100045
APPR	ru0100046
APPR	ru0100047
APPR	ru0100048
APPR	ru0100049
APPR	ru0100050
