EXAMPLE	SOURCE	REFERENCE	REFERENCE_PAGE	CAT	GROUPID	EDITOR	COMMENT	VERSION	COMMENT_INTERN
Вероятно, различий гораздо больше.	PS			EXIST, EPIST	BS0001	Barbara		1	
Господа молча обнялись.	PS			RECI	BS0002	Barbara		1	
Я немного испугался.	PS			ITR	BS0003	Barbara		1	
Je možné, že rozdílů je víc.	PS			EXIST, EPIST	BS0004	Barbara		1	
Možda ima više razlika.	PS			EXIST, EPIST	BS0004	Barbara		1	
Gospoda nemo su se zagrlili.	PS			RECI	BS0005	Barbara		1	
Malo se uplaših.	PS			ITR, DROP	BS0006	Barbara		1	
Jacek rozbil Robertowi samochód.		Šarić (2002)		POSS	BS0007	Barbara		1	
Jacek rozbil samochód Roberta.		Šarić (2002)		POSS	BS0007	Barbara		1	
Я найму тебе адвоката.	NKRJa			PFUT, DOM-ANIM	BS0009	Barbara		1	zu diskutieren: sollen Sätze wie diese beiden verknüpft werden? In der Gegenüberstellung zeigen sich die Bedingungen an DOM. und: soll hier auch der erste Satz mit 'DOM' annotiert werden?
Я найму тебе отдельную комнату.	NKRJa			PFUT, DOM-ANIM	BS0009	Barbara		1	
Tam bychom byli sami.	PS			HYP	BS0010	Barbara		1	diese Sätze sollten als Parallebeispiele miteinander verknüpft werden (hier trotz Übersetzung unproblematisch)
Tam byli by śmy sami.	PS			HYP	BS0010	Barbara		1	
Tamo bismo bili sami.	PS			HYP	BS0010	Barbara		1	
Там мы были бы одни.	PS			HYP	BS0010	Barbara		1	
Zlih ljudi nema na svijetu.	PS			DOM, EXIST-NEG	BS0011	Barbara		1	
Злых людей нет на свете.	PS			DSM, EXIST-NEG	BS0011	Barbara		1	
Ты мне палец сломала.	OPUS			POSS	BS0012	Barbara		1	
Когда-то она была учительницей начальной школы, и неплохой ― дети её любили.	NKRJa			NOMPRED	BS0013	Barbara	This example has been adapted from the original source.	1	zweimal Prädikatsnomen, mit Ins bzw. Nom
Она была учительница и постеснялась идти по деревне в неприличном виде.	NKRJa			NOMPRED	BS0013	Barbara		1	
Какая она стала большая!	NKRJa			NOMPRED	BS0014	Barbara		1	
Она стала серьезной.	NKRJa			NOMPRED	BS0014	Barbara		1	zweimal Prädikatsnomen, mit Ins bzw. Nom
Семен обзвонил городские гостиницы, но ни Светланы, ни Влада не нашел.	NKRJa			DOM-NEG	BS0015	Barbara		1	negiertes Objekt, mit Gen bzw Akk (bei jeweils hochindividualisierten Referenten)
Я не нашла маму с сестренкой, еду без них.	NKRJa			DOM-NEG	BS0015	Barbara		1	
Она видела папу римского.	NKRJa			DOM-ANIM, AGRSEM	BS0016	Barbara		1	interessant wg. interaktion von formaler & semantischer Kongruenz & DOM-ANIM innerhalb der Objekt-NP
Сама бы профессором стала.	NKRJa			NOMPRED, AGRSEM	BS0017	Barbara		1	
Naučićeš vrlo brzo.	PS			FUTUR	BS0018	Barbara		1	
To neću raditi ja, to ćete uraditi vi sami.	PS			FUTUR	BS0018	Barbara		1	Unterschiedliche Kohäsion beim Futur in beiden Sätzen; passt/reicht hier FUTUR?
Boli me glava.	PS			POSS	BS0019	Barbara		1	mit dem ru Bsp verbinden, um die Unterschiede in der Konstruktion zu zeigen? Oder völlig unabhängig erfassen?
У меня голова заболела.	PS			POSS	BS0019	Barbara		1	
У меня тут подарочек.	PS			POSS	BS0020	Barbara		1	
