SOURCE	REFERENCE	REFERENCE_PAGE	GROUPID	_EDITOR	COMMENT	VERSION	_COMMENT_INTERN	EXAMPLEID
PS-BK			BS0009	Barbara		1		bcms0100001
PS-BK			BS0013	Barbara		1		bcms0100002
	Nomachi (2016)	454	BW0008	Björn		1		bcms0100003
PS-KL			BS0002	Barbara		1		cs0100001
PS-KL			BS0003	Barbara		1		cs0100002
CNC			BS0005	Barbara		1		cs0100003
	Fried (1999)	483	BW0008	Björn		1		cs0100004
	Fried (2010)	21	IM0011	Imke		1		cs0100005
NKRJa			SB0003	Sandra		1		cu0100001
NKRJa			SB0004	Sandra		1		cu0100002
NKRJa			SB0005	Sandra		1		cu0100003
NKRJa			SB0006	Sandra		1		cu0100004
NKRJa			SB0007	Sandra		1		cu0100005
NKRJa			SB0008	Sandra		1		cu0100006
NKRJa			SB0009	Sandra		1		cu0100007
NKRJa			SB0010	Sandra		1		cu0100008
NKRJa			SB0011	Sandra		1		cu0100009
NKRJa			SB0012	Sandra		1		cu0100010
	Šarić (2002)	12	BS0001	Barbara	test comment	1		pl0100001
	Šarić (2002)	12	BS0001	Barbara		1	test comment intern	pl0100002
PS-BK			BS0012	Barbara		1		pl0100003
NKJP			BW0001	Björn		1		pl0100004
NKJP			BW0005	Björn		1		pl0100005
NKJP			BW0005	Björn		1		pl0100006
NKJP			BW0005	Björn		1		pl0100007
NKJP			BW0006	Björn		1		pl0100008
NKJP			BW0007	Björn		1		pl0100009
NKJP			IM0008	Imke		1		pl0100010
NKJP			IM0009	Imke		1		pl0100011
PS-OS			BS0004	Barbara		1		ru0100001
AiF			BS0006	Barbara		1		ru0100002
NKRJa			BS0007	Barbara		1		ru0100003
NKRJa			BS0008	Barbara		1		ru0100004
NKRJa			BS0008	Barbara		1		ru0100005
NKRJa			BS0010	Barbara		1		ru0100006
NKRJa			BS0011	Barbara		1		ru0100007
NKRJa			BW0002	Björn		1		ru0100008
NKRJa			BW0003	Björn		1		ru0100009
NKRJa			BW0003	Björn		1		ru0100010
NKRJa			BW0003	Björn		1		ru0100011
NKRJa			BW0003	Björn		1		ru0100012
NKRJa			BW0004	Björn		1		ru0100013
NKRJa			BW0004	Björn		1		ru0100014
NKRJa			IM0001	Imke		1		ru0100015
NKRJa			IM0001	Imke		1		ru0100016
NKRJa			IM0002	Imke		1		ru0100017
NKRJa			IM0003	Imke		1		ru0100018
NKRJa			IM0004	Imke		1		ru0100019
NKRJa			IM0005	Imke		1		ru0100020
NKRJa			IM0005	Imke		1		ru0100021
NKRJa			IM0005	Imke		1		ru0100022
BR, St. R. 40	Zaliznjak, Toporova, Janin (2005)	9	IM0006	Imke		1		ru0100023
Domostroj			IM0007	Imke		1		ru0100024
Domostroj	Timberlake (1974)	15	IM0007	Imke		1		ru0100025
NKRJa			IM0010	Imke		1		ru0100026
NKRJa			SB0001	Sandra		1		ru0100027
NKRJa			SB0001	Sandra		1		ru0100028
NKRJa			SB0001	Sandra		1		ru0100029
NKRJa			SB0002	Sandra		1		ru0100030
NKRJa			SB0002	Sandra		1		ru0100031
